"Alternate Text or Publication Number"|"ISF Assigned Text Number"|"Main Text or Publication Number"|"Text Descriptive Title"|"Alternate Text or Publication Number Prefix"|"Alternate Text or Publication Number Suffix"
"Sachau 80/1"|"ISF_TXT_00240"|"TAD D7.41"|"Fragmentary Letter re Bethelnathan"|"Sachau"|"80/1"
"Sachau Pl. 67/1"|"ISF_TXT_00240"|"TAD D7.41"|"Fragmentary Letter re Bethelnathan"|"Sachau Pl."|"67/1"
"Sachau 78/1"|"ISF_TXT_00241"|"TAD D7.43"|"Notice of Dispatch and Instruction"|"Sachau"|"78/1"
"Sachau Pl. 65/1"|"ISF_TXT_00241"|"TAD D7.43"|"Notice of Dispatch and Instruction"|"Sachau Pl."|"65/1"
"Sachau 80/4"|"ISF_TXT_00244"|"TAD D7.49"|"Fragmentary Letter"|"Sachau"|"80/4"
"Sachau Pl. 67/4"|"ISF_TXT_00244"|"TAD D7.49"|"Fragmentary Letter"|"Sachau Pl."|"67/4"
"Sachau 76/3"|"ISF_TXT_00246"|"TAD D7.51"|"Letter Fragment"|"Sachau"|"76/3"
"Sachau Pl. 63/3"|"ISF_TXT_00246"|"TAD D7.51"|"Letter Fragment"|"Sachau Pl."|"63/3"
"Sachau 80/5"|"ISF_TXT_00247"|"TAD D7.52"|"Letter Fragment"|"Sachau"|"80/5"
"Sachau Pl. 67/5"|"ISF_TXT_00247"|"TAD D7.52"|"Letter Fragment"|"Sachau Pl."|"67/5"
"Sachau 80/7"|"ISF_TXT_00248"|"TAD D7.53"|"Letter Fragment re a Load"|"Sachau"|"80/7"
"Sachau Pl. 67/7"|"ISF_TXT_00248"|"TAD D7.53"|"Letter Fragment re a Load"|"Sachau Pl."|"67/7"
"Sachau 84/1"|"ISF_TXT_00249"|"TAD D7.54"|"Letter Fragment re Wood"|"Sachau"|"84/1"
"Sachau Pl. 71/1"|"ISF_TXT_00249"|"TAD D7.54"|"Letter Fragment re Wood"|"Sachau Pl."|"71/1"
"Sachau 81/1"|"ISF_TXT_00250"|"TAD D7.55"|"Fragmentary Letter re Tunic Wine and Oil"|"Sachau"|"81/1"
"Sachau Pl. 68/1"|"ISF_TXT_00250"|"TAD D7.55"|"Fragmentary Letter re Tunic Wine and Oil"|"Sachau Pl."|"68/1"
"Sachau 77/3"|"ISF_TXT_00251"|"TAD D8.2"|"Unintelligible Text"|"Sachau"|"77/3"
"Sachau Pl. 64/3"|"ISF_TXT_00251"|"TAD D8.2"|"Unintelligible Text"|"Sachau Pl."|"64/3"
"Sachau 75/2"|"ISF_TXT_00252"|"TAD D8.3"|"Land Registry"|"Sachau"|"75/2"
"Sachau Pl. 62/2"|"ISF_TXT_00252"|"TAD D8.3"|"Land Registry"|"Sachau Pl."|"62/2"
"Sachau 75/1"|"ISF_TXT_00253"|"TAD D8.4"|"Account re Silver"|"Sachau"|"75/1"
"Sachau Pl. 62/1"|"ISF_TXT_00253"|"TAD D8.4"|"Account re Silver"|"Sachau Pl."|"62/1"
"Sachau 81/2"|"ISF_TXT_00254"|"TAD D8.5"|"Account re Silver"|"Sachau"|"81/2"
"Sachau Pl. 68/2"|"ISF_TXT_00254"|"TAD D8.5"|"Account re Silver"|"Sachau Pl."|"68/2"
"Sachau 80/2"|"ISF_TXT_00255"|"TAD D9.12"|"Fragmentary List"|"Sachau"|"80/2"
"Sachau Pl. 67/2"|"ISF_TXT_00255"|"TAD D9.12"|"Fragmentary List"|"Sachau Pl."|"67/2"
"Sachau 79/3"|"ISF_TXT_00258"|"TAD D9.5"|"List"|"Sachau"|"79/3"
"Sachau Pl. 66/3"|"ISF_TXT_00258"|"TAD D9.5"|"List"|"Sachau Pl."|"66/3"
"Sachau 84/3"|"ISF_TXT_00259"|"TAD D9.6"|"Name"|"Sachau"|"84/3"
"Sachau Pl. 71/3"|"ISF_TXT_00259"|"TAD D9.6"|"Name"|"Sachau Pl."|"71/3"
"Sachau 84/5"|"ISF_TXT_00260"|"TAD D9.7"|"Name"|"Sachau"|"84/5"
"Sachau Pl. 71/5"|"ISF_TXT_00260"|"TAD D9.7"|"Name"|"Sachau Pl."|"71/5"
"Sachau 79/5"|"ISF_TXT_00261"|"TAD D9.8"|"Name"|"Sachau"|"79/5"
"Sachau Pl. 66/5"|"ISF_TXT_00261"|"TAD D9.8"|"Name"|"Sachau Pl."|"66/5"
"1Qphyl"|"ISF_TXT_00294"|"1Q13"|"Phylactery"|"1Q"|"phyl"
"1QJub a"|"ISF_TXT_00295"|"1Q17"|"Book of Jubilees a"|"1Q"|"Jub a"
"1QJub b"|"ISF_TXT_00296"|"1Q18"|"Book of Jubilees b"|"1Q"|"Jub b"
"1QNoah"|"ISF_TXT_00297"|"1Q19"|"Noah"|"1Q"|"Noah"
"1QapGen ar"|"ISF_TXT_00298"|"1Q20"|"Genesis Apocryphon ar"|"1Q"|"apGen ar"
"1QDM"|"ISF_TXT_00299"|"1Q22"|"Words of Moses"|"1Q"|"DM"
"1QEnGiants a ar"|"ISF_TXT_00300"|"1Q23"|"Enoch Giants a ar"|"1Q"|"EnGiants a ar"
"1QMyst"|"ISF_TXT_00301"|"1Q27"|"Mysteries"|"1Q"|"Myst"
"1QS a"|"ISF_TXT_00302"|"1Q28a"|"Rule of the Congregation"|"1Q"|"S a"
"1QM frgs"|"ISF_TXT_00303"|"1Q33"|"War Scroll fragments"|"1Q"|"M frgs"
"1QLitPr a"|"ISF_TXT_00304"|"1Q34"|"Liturgical Prayers a"|"1Q"|"LitPr a"
"1QH b"|"ISF_TXT_00305"|"1Q35"|"Hodayot b"|"1Q"|"H b"
"1Qhymnic composition?"|"ISF_TXT_00306"|"1Q37"|"hymnic compositions (?)"|"1Q"|"hymnic composition?"
"1QHymns"|"ISF_TXT_00307"|"1Q36"|"Hymns"|"1Q"|"Hymns"
"1Qpap unclassified frgs"|"ISF_TXT_00308"|"1Q70"|"Unclassified papyrus fragments"|"1Q"|"pap unclassified frgs"
"4QpIsa b"|"ISF_TXT_00309"|"4Q162"|"Pesher Isaiah b"|"4Q"|"pIsa b"
"4QTest"|"ISF_TXT_00310"|"4Q175"|"Testamonia"|"4Q"|"Test"
"4QpaleoExod m"|"ISF_TXT_00311"|"4Q22"|"paleo-Exodus m"|"4Q"|"paleoExod m"
"4QQoh a"|"ISF_TXT_00312"|"4Q109"|"Qohelet a"|"4Q"|"Qoh a"
"3QCopper Scroll"|"ISF_TXT_00313"|"3Q15"|"Copper Scroll"|"3Q"|"Copper Scroll"
"Aufrecht 42"|"ISF_TXT_00803"|"Avigad & Sass 944"|"Seal of Manahham"|"Aufrecht"|"42"
"Aufrecht 72"|"ISF_TXT_00804"|"Avigad & Sass 964"|"Seal of Amas'el"|"Aufrecht"|"72"
"KTU2 3.9"|"ISF_TXT_00823"|"KTU 3.9"|"Marzeah Text"|"KTU2"|"3.9"
"CAT 3.9"|"ISF_TXT_00823"|"KTU 3.9"|"Marzeah Text"|"CAT"|"3.9"
"Deutsch & Heltzer 77"|"ISF_TXT_00722"|"Lemaire Hebrew 2"|"Ostracon 9"|"Deutsch & Heltzer"|"77"
"Deutsch & Heltzer 79"|"ISF_TXT_00723"|"Lemaire Hebrew 3"|"Ostracon 17&25"|"Deutsch & Heltzer"|"79"
"Deutsch & Heltzer 78"|"ISF_TXT_00725"|"Lemaire Hebrew 5"|"Ostracon 20"|"Deutsch & Heltzer"|"78"
"Gibson 3, II.4"|"ISF_TXT_00806"|"KAI 1"|"Ahiram Sarcophagus"|"Gibson"|"3,II.4"
"Gibson 3, II.4"|"ISF_TXT_00806"|"KAI 1"|"Ahiram Sarcophagus"|"Gibson"|"3, II.4"
"Gibson 2, 9"|"ISF_TXT_00807"|"KAI 224"|"Sefire III Inscription"|"Gibson"|"2,9"
"Gibson 2, 9"|"ISF_TXT_00807"|"KAI 224"|"Sefire III Inscription"|"Gibson"|"2, 9"
"Gibson 3, II.6"|"ISF_TXT_00822"|"KAI 4"|"Yehimilk Inscription"|"Gibson"|"3, II.6"
"Gibson 3, II.6"|"ISF_TXT_00822"|"KAI 4"|"Yehimilk Inscription"|"Gibson"|"3,II.6"
